car_ID,symboling,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
19,2,std,two,hatchback,fwd,front,-7075.792604,-12660.62697,8627.695895,53.2,1488,three,61,2.91,3.03,9.5,48,5100,47,53,1835.95144
20,1,std,two,hatchback,fwd,front,-11103.92961,-3519.554926,-13906.31589,52,1874,four,90,3.03,3.11,9.6,70,5400,38,43,-1701.835002
21,0,std,four,sedan,fwd,front,11919.69015,8970.404776,-9302.468101,52,1909,four,90,3.03,3.11,9.6,70,5400,38,43,-6563.853375
22,1,std,two,hatchback,fwd,front,-1612.510404,771.5401528,-16150.05742,50.8,1876,four,90,2.97,3.23,9.41,68,5500,37,41,12257.36467
23,1,std,two,hatchback,fwd,front,733.9256375,-8364.658223,-1991.454676,50.8,1876,four,90,2.97,3.23,9.4,68,5500,31,38,7063.543738
24,1,turbo,two,hatchback,fwd,front,-11204.28549,-5465.129674,5904.138046,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30,-2262.687198
25,1,std,four,hatchback,fwd,front,-4161.361796,5694.081991,12182.65642,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38,-4031.630177
26,1,std,four,sedan,fwd,front,1081.080718,-5585.633054,756.5582434,50.6,1989,four,90,2.97,3.23,9.4,68,5500,31,38,4105.722406
27,1,std,four,sedan,fwd,front,-9014.248619,1988.968717,13192.72436,50.6,1989,four,90,2.97,3.23,9.4,68,5500,31,38,21061.1722
28,1,turbo,two,sedan,fwd,front,3199.284147,621.8747192,-10877.01167,50.6,2191,four,98,3.03,3.39,7.6,102,5500,24,30,6581.269189
29,-1,std,four,wagon,fwd,front,-4601.809519,-4938.202781,-13462.45951,59.8,2535,four,122,3.34,3.46,8.5,88,5000,24,30,-3004.143625
30,3,turbo,two,hatchback,fwd,front,-2137.649998,17424.75271,-278.0815912,50.2,2811,four,156,3.6,3.9,7,145,5000,19,24,11098.05549
31,2,std,two,hatchback,fwd,front,-4627.052898,5315.952179,3236.423592,50.8,1713,four,92,2.91,3.41,9.6,58,4800,49,54,4397.211442
32,2,std,two,hatchback,fwd,front,15004.82548,-15956.54069,-97.65798475,50.8,1819,four,92,2.91,3.41,9.2,76,6000,31,38,-14620.09314
33,1,std,two,hatchback,fwd,front,85.7222021,1741.634518,-16375.5368,52.6,1837,four,79,2.91,3.07,10.1,60,5500,38,42,5064.641068
34,1,std,two,hatchback,fwd,front,-8267.987432,-5044.291718,-548.9603161,52.6,1940,four,92,2.91,3.41,9.2,76,6000,30,34,4781.523758
35,1,std,two,hatchback,fwd,front,6774.059297,7069.466678,-10271.756,52.6,1956,four,92,2.91,3.41,9.2,76,6000,30,34,12798.65092
36,0,std,four,sedan,fwd,front,-9570.2492,-6076.765907,5521.380391,54.5,2010,four,92,2.91,3.41,9.2,76,6000,30,34,22186.64876
37,0,std,four,wagon,fwd,front,1867.40876,-660.7915317,3096.685969,58.3,2024,four,92,2.92,3.41,9.2,76,6000,30,34,16407.52024
38,0,std,two,hatchback,fwd,front,-15480.86099,4307.398232,-7353.838291,53.3,2236,four,110,3.15,3.58,9,86,5800,27,33,5843.890476
39,0,std,two,hatchback,fwd,front,-10428.98839,7193.541553,-3945.735339,53.3,2289,four,110,3.15,3.58,9,86,5800,27,33,342.7927301
40,0,std,four,sedan,fwd,front,1771.389887,-9326.971256,-8308.508175,54.1,2304,four,110,3.15,3.58,9,86,5800,27,33,29531.87843
41,0,std,four,sedan,fwd,front,6104.23264,-2400.609887,-338.9327782,54.1,2372,four,110,3.15,3.58,9,86,5800,27,33,10868.74747
42,0,std,four,sedan,fwd,front,1567.44625,-3524.162489,7806.338564,54.1,2465,four,110,3.15,3.58,9,101,5800,24,28,13156.43434
43,1,std,two,sedan,fwd,front,-728.6862591,-4957.533861,-7719.808371,51,2293,four,110,3.15,3.58,9.1,100,5500,25,31,10251.9993
44,0,std,four,sedan,rwd,front,-2214.529565,14394.33392,4194.172124,53.5,2337,four,111,3.31,3.23,8.5,78,4800,24,29,8469.678086
45,1,std,two,sedan,fwd,front,-11633.67592,3495.753688,-4078.460947,52,1874,four,90,3.03,3.11,9.6,70,5400,38,43,7861.616705
46,0,std,four,sedan,fwd,front,-5564.253667,-9831.171635,-6179.382658,52,1909,four,90,3.03,3.11,9.6,70,5400,38,43,4427.203945
47,2,std,two,hatchback,rwd,front,-3489.110168,7615.495576,-691.0428796,51.4,2734,four,119,3.43,3.23,9.2,90,5000,24,29,6773.12847
48,0,std,four,sedan,rwd,front,8669.97781,17276.84958,-8112.338579,52.8,4066,six,258,3.63,4.17,8.1,176,4750,15,19,32087.97384
49,0,std,four,sedan,rwd,front,2961.946317,8559.322084,-4259.594443,52.8,4066,six,258,3.63,4.17,8.1,176,4750,15,19,31302.60183
50,0,std,two,sedan,rwd,front,-13902.32124,-11863.25973,-9412.423141,47.8,3950,twelve,326,3.54,2.76,11.5,262,5000,13,17,30397.23374
51,1,std,two,hatchback,fwd,front,2785.771755,-3614.772583,15882.00106,54.1,1890,four,91,3.03,3.15,9,68,5000,30,31,6146.441822
52,1,std,two,hatchback,fwd,front,-2887.558243,10394.38919,446.3084158,54.1,1900,four,91,3.03,3.15,9,68,5000,31,38,4155.182261
53,1,std,two,hatchback,fwd,front,-5222.276002,-5402.255725,-5433.604064,54.1,1905,four,91,3.03,3.15,9,68,5000,31,38,18926.94391
54,1,std,four,sedan,fwd,front,5086.510311,3817.355425,1876.039286,54.1,1945,four,91,3.03,3.15,9,68,5000,31,38,-14412.75847
55,1,std,four,sedan,fwd,front,8441.09618,6463.872427,-734.4243975,54.1,1950,four,91,3.08,3.15,9,68,5000,31,38,16227.05482
56,3,std,two,hatchback,rwd,front,7645.540953,-7146.443773,-1602.056796,49.6,2380,two,70,3.33,3.255,9.4,101,6000,17,23,21013.68154
57,3,std,two,hatchback,rwd,front,-6518.440186,-207.2028485,5079.0336,49.6,2380,two,70,3.33,3.255,9.4,101,6000,17,23,-4642.121859
58,3,std,two,hatchback,rwd,front,-2278.399007,-25661.13872,6225.76168,49.6,2385,two,70,3.33,3.255,9.4,101,6000,17,23,11003.49925
59,3,std,two,hatchback,rwd,front,2845.407451,-7926.101131,-4078.309181,49.6,2500,two,80,3.33,3.255,9.4,135,6000,16,23,12773.47307
60,1,std,two,hatchback,fwd,front,8003.161017,-1742.745211,-4440.045925,53.7,2385,four,122,3.39,3.39,8.6,84,4800,26,32,-2315.093558
61,0,std,four,sedan,fwd,front,-3634.593903,-9704.465456,-2033.913577,55.5,2410,four,122,3.39,3.39,8.6,84,4800,26,32,2372.466499
62,1,std,two,hatchback,fwd,front,-1286.471813,13337.09043,-18248.86932,53.7,2385,four,122,3.39,3.39,8.6,84,4800,26,32,1810.393236
63,0,std,four,sedan,fwd,front,-8651.879792,-11163.33102,-11955.0285,55.5,2410,four,122,3.39,3.39,8.6,84,4800,26,32,24363.16355
64,0,std,four,sedan,fwd,front,-9370.852993,-3242.555894,11101.49414,55.5,2443,four,122,3.39,3.39,22.7,64,4650,36,42,18380.42715
65,0,std,four,hatchback,fwd,front,6699.006579,1323.724618,13326.24171,55.5,2425,four,122,3.39,3.39,8.6,84,4800,26,32,21517.44076
66,0,std,four,sedan,rwd,front,11054.82023,11805.18631,-1826.188316,54.4,2670,four,140,3.76,3.16,8,120,5000,19,27,24153.37651
67,0,std,four,sedan,rwd,front,-371.1809726,-11211.89721,4778.555704,54.4,2700,four,134,3.43,3.64,22,72,4200,31,39,9411.58583
68,-1,turbo,four,sedan,rwd,front,8238.263183,9596.210017,2660.301236,56.5,3515,five,183,3.58,3.64,21.5,123,4350,22,25,21455.83787
69,-1,turbo,four,wagon,rwd,front,3103.0882,372.7644882,24801.34647,58.7,3750,five,183,3.58,3.64,21.5,123,4350,22,25,32262.99649
70,0,turbo,two,hardtop,rwd,front,-4954.258037,-7564.569208,9126.899291,54.9,3495,five,183,3.58,3.64,21.5,123,4350,22,25,18498.97753
71,-1,turbo,four,sedan,rwd,front,3106.764844,3999.427794,-851.6407318,56.3,3770,five,183,3.58,3.64,21.5,123,4350,22,25,37403.98744
72,-1,std,four,sedan,rwd,front,12519.89253,1895.077565,-7472.623525,56.5,3740,eight,234,3.46,3.1,8.3,155,4750,16,18,32361.39681
73,3,std,two,convertible,rwd,front,-90.00831288,-4521.435017,-12681.07056,50.8,3685,eight,234,3.46,3.1,8.3,155,4750,16,18,32157.43354
74,0,std,four,sedan,rwd,front,12738.04925,866.5166799,1799.409087,56.7,3900,eight,308,3.8,3.35,8,184,4500,14,16,46747.67975
75,1,std,two,hardtop,rwd,front,-20745.96083,-2783.308775,-5878.805962,55.4,3715,eight,304,3.8,3.35,8,184,4500,14,16,49054.10649
76,1,turbo,two,hatchback,rwd,front,6777.920035,1186.538762,-11210.02968,54.8,2910,four,140,3.78,3.12,8,175,5000,19,24,13715.27067
77,2,std,two,hatchback,fwd,front,890.0765459,5554.345396,-5008.183074,50.8,1918,four,92,2.97,3.23,9.4,68,5500,37,41,14763.63843
78,2,std,two,hatchback,fwd,front,-2198.358804,12945.43453,-8487.984029,50.8,1944,four,92,2.97,3.23,9.4,68,5500,31,38,-2359.506621
79,2,std,two,hatchback,fwd,front,927.7862123,-9645.223991,13661.53308,50.8,2004,four,92,2.97,3.23,9.4,68,5500,31,38,11696.48486
80,1,turbo,two,hatchback,fwd,front,-15707.55132,17321.567,7216.918056,50.8,2145,four,98,3.03,3.39,7.6,102,5500,24,30,12533.81006
81,3,turbo,two,hatchback,fwd,front,-1561.075103,-15343.7024,101.6188695,49.4,2370,four,110,3.17,3.46,7.5,116,5500,23,30,7582.628485
82,3,std,two,hatchback,fwd,front,3053.200572,-941.2807603,12004.95311,49.4,2328,four,122,3.35,3.46,8.5,88,5000,25,32,11208.06418
83,3,turbo,two,hatchback,fwd,front,12019.05236,4979.737652,785.2464612,50.2,2833,four,156,3.58,3.86,7,145,5000,19,24,2720.091389
84,3,turbo,two,hatchback,fwd,front,-3950.261746,2521.134942,-6723.973611,50.2,2921,four,156,3.59,3.86,7,145,5000,19,24,22361.21615
85,3,turbo,two,hatchback,fwd,front,-6272.048823,-4708.396159,12351.29262,50.2,2926,four,156,3.59,3.86,7,145,5000,19,24,13109.78291
86,1,std,four,sedan,fwd,front,-3817.756349,-1392.578003,4476.680349,51.6,2365,four,122,3.35,3.46,8.5,88,5000,25,32,2907.215836
87,1,std,four,sedan,fwd,front,7519.516942,-3671.607477,-8132.569235,51.6,2405,four,122,3.35,3.46,8.5,88,5000,25,32,16681.07381
88,1,turbo,four,sedan,fwd,front,2826.308877,-4442.518056,-1357.309425,51.6,2403,four,110,3.17,3.46,7.5,116,5500,23,30,3744.250476
89,-1,std,four,sedan,fwd,front,-4041.78163,7069.216776,-6839.546027,51.6,2403,four,110,3.17,3.46,7.5,116,5500,23,30,-1888.690371
90,1,std,two,sedan,fwd,front,4300.639465,3121.423888,-10898.59785,54.5,1889,four,97,3.15,3.29,9.4,69,5200,31,37,-6854.033388
91,1,std,two,sedan,fwd,front,971.1203948,-5277.976762,7573.22038,54.5,2017,four,103,2.99,3.47,21.9,55,4800,45,50,12047.07961
92,1,std,two,sedan,fwd,front,7943.659924,7462.099003,15439.13312,54.5,1918,four,97,3.15,3.29,9.4,69,5200,31,37,-3494.43482
93,1,std,four,sedan,fwd,front,-5421.924751,2723.696167,-11024.74059,54.5,1938,four,97,3.15,3.29,9.4,69,5200,31,37,20987.35346
94,1,std,four,wagon,fwd,front,-2426.797173,6773.096951,4667.553894,53.5,2024,four,97,3.15,3.29,9.4,69,5200,31,37,-9206.435263
95,1,std,two,sedan,fwd,front,-2942.365225,5302.330735,-5041.340553,54.5,1951,four,97,3.15,3.29,9.4,69,5200,31,37,20970.65095
96,1,std,two,hatchback,fwd,front,-11513.61959,-6366.360087,-3733.20307,53.3,2028,four,97,3.15,3.29,9.4,69,5200,31,37,9587.139738
97,1,std,four,sedan,fwd,front,2563.462217,-4216.148322,-4575.351394,54.5,1971,four,97,3.15,3.29,9.4,69,5200,31,37,6825.295105
98,1,std,four,wagon,fwd,front,2282.942177,6248.548841,-6748.126157,53.5,2037,four,97,3.15,3.29,9.4,69,5200,31,37,3739.647306
99,2,std,two,hardtop,fwd,front,236.0076531,5145.362123,551.9730236,53.3,2008,four,97,3.15,3.29,9.4,69,5200,31,37,11542.08891
100,0,std,four,hatchback,fwd,front,-1679.497067,106.1872483,-6482.400931,54.7,2324,four,120,3.33,3.47,8.5,97,5200,27,34,8747.922381
101,0,std,four,sedan,fwd,front,-11125.76594,1212.019066,2328.854606,54.7,2302,four,120,3.33,3.47,8.5,97,5200,27,34,18475.41506
102,0,std,four,sedan,fwd,front,-3164.762582,10503.01917,-235.4048756,55.1,3095,six,181,3.43,3.27,9,152,5200,17,22,14512.82119
103,0,std,four,wagon,fwd,front,-2541.316132,-4447.971111,-1745.084375,56.1,3296,six,181,3.43,3.27,9,152,5200,17,22,15701.41409
104,0,std,four,sedan,fwd,front,-6217.818154,4661.379049,-7094.009296,55.1,3060,six,181,3.43,3.27,9,152,5200,19,25,10690.1023
105,3,std,two,hatchback,rwd,front,-1098.985693,-1346.841219,-4446.270645,49.7,3071,six,181,3.43,3.27,9,160,5200,19,25,16843.43501
106,3,turbo,two,hatchback,rwd,front,3423.706855,-1470.749626,6211.029807,49.7,3139,six,181,3.43,3.27,7.8,200,5200,17,23,22261.41415
107,1,std,two,hatchback,rwd,front,15288.68721,9068.714816,4175.237501,49.7,3139,six,181,3.43,3.27,9,160,5200,19,25,4817.652859
108,0,std,four,sedan,rwd,front,1604.522503,6890.030792,-7652.041958,56.7,3020,four,120,3.46,3.19,8.4,97,5000,19,24,1214.516623
109,0,turbo,four,sedan,rwd,front,2268.303126,6794.777088,963.0584434,56.7,3197,four,152,3.7,3.52,21,95,4150,28,33,19246.11275
110,0,std,four,wagon,rwd,front,-381.3673261,10742.73046,6179.496987,58.7,3230,four,120,3.46,3.19,8.4,97,5000,19,24,13906.92351
111,0,turbo,four,wagon,rwd,front,-15135.96972,466.9307331,-13186.84225,58.7,3430,four,152,3.7,3.52,21,95,4150,25,25,12488.13331
112,0,std,four,sedan,rwd,front,-4.211003594,5742.32377,4515.281539,56.7,3075,four,120,3.46,2.19,8.4,95,5000,19,24,15827.47146
113,0,turbo,four,sedan,rwd,front,689.7416795,-2195.434053,-5132.590072,56.7,3252,four,152,3.7,3.52,21,95,4150,28,33,19780.65364
114,0,std,four,wagon,rwd,front,19920.1369,2892.23082,4733.189349,56.7,3285,four,120,3.46,2.19,8.4,95,5000,19,24,12476.92256
115,0,turbo,four,wagon,rwd,front,-1324.687718,-742.2444349,-5937.673252,58.7,3485,four,152,3.7,3.52,21,95,4150,25,25,10948.5622
116,0,std,four,sedan,rwd,front,2620.278739,1062.66772,-14270.65681,56.7,3075,four,120,3.46,3.19,8.4,97,5000,19,24,18296.76204
117,0,turbo,four,sedan,rwd,front,-69.79415764,5047.956203,-12851.9395,56.7,3252,four,152,3.7,3.52,21,95,4150,28,33,10223.01778
118,0,turbo,four,sedan,rwd,front,-9141.424301,-6259.065466,552.9795733,56,3130,four,134,3.61,3.21,7,142,5600,18,24,21516.02205
119,1,std,two,hatchback,fwd,front,9336.282516,16996.39821,2241.580014,50.8,1918,four,90,2.97,3.23,9.4,68,5500,37,41,-7948.668834
120,1,turbo,two,hatchback,fwd,front,6209.164261,-7790.839052,-7070.733001,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30,16290.2451
121,1,std,four,hatchback,fwd,front,6521.955576,-9456.208902,5272.53967,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38,10109.77986
122,1,std,four,sedan,fwd,front,-7081.399638,9532.186988,-13128.3605,50.8,1989,four,90,2.97,3.23,9.4,68,5500,31,38,8840.237875
123,1,std,four,sedan,fwd,front,11416.05449,6600.601552,-364.8383892,50.8,2191,four,98,2.97,3.23,9.4,68,5500,31,38,15570.52787
124,-1,std,four,wagon,fwd,front,-11011.5085,5267.558536,-9523.529598,59.8,2535,four,122,3.35,3.46,8.5,88,5000,24,30,22344.79556
125,3,turbo,two,hatchback,rwd,front,4890.75675,5299.964074,-5048.388862,50.2,2818,four,156,3.59,3.86,7,145,5000,19,24,20978.96052
126,3,std,two,hatchback,rwd,front,17718.14501,170.9258172,547.4893705,50.2,2778,four,151,3.94,3.11,9.5,143,5500,19,27,7391.006149
127,3,std,two,hardtop,rwd,rear,-7734.790601,-6909.134972,-6718.306922,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25,22391.38427
128,3,std,two,hardtop,rwd,rear,-4340.881837,875.3364655,-2911.444354,51.6,2756,six,194,3.74,2.9,9.5,207,5900,17,25,29129.45138
129,3,std,two,convertible,rwd,rear,986.7109207,-5148.393692,8215.342474,51.6,2800,six,194,3.74,2.9,9.5,207,5900,17,25,37336.7284
130,1,std,two,hatchback,rwd,front,-3829.405233,8076.657867,-4442.834956,50.5,3366,eight,203,3.94,3.11,10,288,5750,17,28,35641.77216
131,0,std,four,wagon,fwd,front,-12209.20745,-894.959052,6852.036897,55.2,2579,four,132,3.46,3.9,8.7,90,5100,23,31,3589.049495
132,2,std,two,hatchback,fwd,front,744.6037984,-6327.177574,-8871.054837,50.5,2460,four,132,3.46,3.9,8.7,90,5100,23,31,11489.13412
133,3,std,two,hatchback,fwd,front,-8299.32971,-2284.486733,4404.933423,56.1,2658,four,121,3.54,3.07,9.31,110,5250,21,28,5906.936541
134,2,std,four,sedan,fwd,front,3987.839445,3590.051634,11699.04897,56.1,2695,four,121,3.54,3.07,9.3,110,5250,21,28,7377.857576
135,3,std,two,hatchback,fwd,front,-7156.293874,-4223.196422,-19606.656,56.1,2707,four,121,2.54,2.07,9.3,110,5250,21,28,3886.711225
136,2,std,four,sedan,fwd,front,12598.57524,-6291.163165,-6208.662044,56.1,2758,four,121,3.54,3.07,9.3,110,5250,21,28,8224.134031
137,3,turbo,two,hatchback,fwd,front,-6066.926339,2236.097692,4783.077017,56.1,2808,four,121,3.54,3.07,9,160,5500,19,26,7436.523155
138,2,turbo,four,sedan,fwd,front,-2377.39213,2246.332569,-1457.863088,56.1,2847,four,121,3.54,3.07,9,160,5500,19,26,10913.01398
139,2,std,two,hatchback,fwd,front,6701.837739,-3798.645403,3132.566987,53.7,2050,four,97,3.62,2.36,9,69,4900,31,36,13647.13437
140,2,std,two,hatchback,fwd,front,-9653.214531,-3510.406445,-4668.281494,53.7,2120,four,108,3.62,2.64,8.7,73,4400,26,31,-442.1911107
141,2,std,two,hatchback,4wd,front,2012.979477,2113.699499,856.5182998,55.7,2240,four,108,3.62,2.64,8.7,73,4400,26,31,28762.05652
142,0,std,four,sedan,fwd,front,10654.34203,-11312.67473,-1080.017883,52.5,2145,four,108,3.62,2.64,9.5,82,4800,32,37,11172.54321
143,0,std,four,sedan,fwd,front,-12662.66588,-10987.7102,9507.656493,52.5,2190,four,108,3.62,2.64,9.5,82,4400,28,33,9353.68899
144,0,std,four,sedan,fwd,front,1674.270868,-5475.55377,2200.766746,52.5,2340,four,108,3.62,2.64,9,94,5200,26,32,3193.137759
145,0,std,four,sedan,4wd,front,2276.062354,-1435.577214,2866.221297,54.3,2385,four,108,3.62,2.64,9,82,4800,24,25,14935.47904
146,0,turbo,four,sedan,4wd,front,6451.582974,2759.260525,-3129.615729,54.3,2510,four,108,3.62,2.64,7.7,111,4800,24,29,6753.89739
147,0,std,four,wagon,fwd,front,-9698.605687,12076.34974,-3735.449793,53,2290,four,108,3.62,2.64,9,82,4800,28,32,8539.078517
148,0,std,four,wagon,fwd,front,-10366.6529,7134.776986,-3295.065503,53,2455,four,108,3.62,2.64,9,94,5200,25,31,30778.67631
149,0,std,four,wagon,4wd,front,4372.432525,-1005.90824,3321.017139,54.9,2420,four,108,3.62,2.64,9,82,4800,23,29,7344.520802
150,0,turbo,four,wagon,4wd,front,2572.777386,121.4703368,-3202.475847,54.9,2650,four,108,3.62,2.64,7.7,111,4800,23,23,20988.18661
151,1,std,two,hatchback,fwd,front,2199.642803,-7761.534917,2481.798855,54.5,1985,four,92,3.05,3.03,9,62,4800,35,39,-177.411401
152,1,std,two,hatchback,fwd,front,2967.285676,110.5949121,16766.80639,54.5,2040,four,92,3.05,3.03,9,62,4800,31,38,6158.092076
153,1,std,four,hatchback,fwd,front,-5244.497773,-2050.569111,7132.597627,54.5,2015,four,92,3.05,3.03,9,62,4800,31,38,20754.40509
154,0,std,four,wagon,fwd,front,2053.729577,2851.448483,-2444.588257,59.1,2280,four,92,3.05,3.03,9,62,4800,31,37,2002.263538
155,0,std,four,wagon,4wd,front,2540.279786,-6348.147548,9773.311377,59.1,2290,four,92,3.05,3.03,9,62,4800,27,32,22497.58846
156,0,std,four,wagon,4wd,front,-5519.111344,4424.472114,-3101.002984,59.1,3110,four,92,3.05,3.03,9,62,4800,27,32,14540.01548
157,0,std,four,sedan,fwd,front,15121.89609,12528.2113,-16140.59628,53,2081,four,98,3.19,3.03,9,70,4800,30,37,2538.265793
158,0,std,four,hatchback,fwd,front,3986.363367,-603.7811877,-7900.290487,52.8,2109,four,98,3.19,3.03,9,70,4800,30,37,12357.26191
159,0,std,four,sedan,fwd,front,-9334.727978,3479.993777,-14801.93537,53,2275,four,110,3.27,3.35,22.5,56,4500,34,36,15778.4356
160,0,std,four,hatchback,fwd,front,5448.128869,5787.451934,-2647.707872,52.8,2275,four,110,3.27,3.35,22.5,56,4500,38,47,12862.4797
161,0,std,four,sedan,fwd,front,-7601.753362,-2943.463775,311.7470335,53,2094,four,98,3.19,3.03,9,70,4800,38,47,-4723.797759
162,0,std,four,hatchback,fwd,front,6492.37683,2059.039854,13575.8985,52.8,2122,four,98,3.19,3.03,9,70,4800,28,34,2640.902593
163,0,std,four,sedan,fwd,front,9464.464632,367.0392063,2779.81899,52.8,2140,four,98,3.19,3.03,9,70,4800,28,34,7377.850916
164,1,std,two,sedan,rwd,front,-6370.958547,1050.108788,-1588.80423,52.6,2169,four,98,3.19,3.03,9,70,4800,29,34,7562.532567
165,1,std,two,hatchback,rwd,front,7901.509034,-5915.378271,6799.244649,52.6,2204,four,98,3.19,3.03,9,70,4800,29,34,13303.37678
166,1,std,two,sedan,rwd,front,3496.747415,464.7813941,-17525.08247,52.6,2265,four,98,3.24,3.08,9.4,112,6600,26,29,10819.60801
167,1,std,two,hatchback,rwd,front,6770.98128,4252.68633,2048.916465,52.6,2300,four,98,3.24,3.08,9.4,112,6600,26,29,-1044.75487
168,2,std,two,hardtop,rwd,front,15372.74386,11885.34886,6332.521551,52,2540,four,146,3.62,3.5,9.3,116,4800,24,30,11590.58281
169,2,std,two,hardtop,rwd,front,-1764.704928,7950.366609,-11663.08997,52,2536,four,146,3.62,3.5,9.3,116,4800,24,30,14623.68596
170,2,std,two,hatchback,rwd,front,-5831.489315,17501.65966,9315.632346,52,2551,four,146,3.62,3.5,9.3,116,4800,24,30,14567.32358
171,2,std,two,hardtop,rwd,front,-6917.715437,-5862.580503,2873.57126,52,2679,four,146,3.62,3.5,9.3,116,4800,24,30,19945.2458
172,2,std,two,hatchback,rwd,front,-6328.08228,7254.765094,-3156.703311,52,2714,four,146,3.62,3.5,9.3,116,4800,24,30,18320.37724
173,2,std,two,convertible,rwd,front,-418.4136753,1742.936046,5227.854929,53,2975,four,146,3.62,3.5,9.3,116,4800,24,30,21442.44063
174,-1,std,four,sedan,fwd,front,2931.615799,17794.02347,18332.04286,54.9,2326,four,122,3.31,3.54,8.7,92,4200,29,34,8486.674308
175,-1,turbo,four,sedan,fwd,front,2415.926395,-6190.786283,1621.43004,54.9,2480,four,110,3.27,3.35,22.5,73,4500,30,33,-2489.687468
176,-1,std,four,hatchback,fwd,front,6819.865992,-6442.174737,2152.26469,53.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32,13524.94575
177,-1,std,four,sedan,fwd,front,306.415135,-4519.541164,-3508.387196,54.9,2414,four,122,3.31,3.54,8.7,92,4200,27,32,12659.5015
178,-1,std,four,hatchback,fwd,front,11830.67262,-16715.56579,-6632.254956,53.9,2458,four,122,3.31,3.54,8.7,92,4200,27,32,13520.6307
179,3,std,two,hatchback,rwd,front,-1914.354666,-3922.540173,6810.386532,52,2976,six,171,3.27,3.35,9.3,161,5200,20,24,6444.011393
180,3,std,two,hatchback,rwd,front,21964.25333,-5789.561292,-6680.970607,52,3016,six,171,3.27,3.35,9.3,161,5200,19,24,7449.547677
181,-1,std,four,sedan,rwd,front,5209.838782,1490.950292,739.0298978,54.1,3131,six,171,3.27,3.35,9.2,156,5200,20,24,24215.22283
182,-1,std,four,wagon,rwd,front,-6652.760451,3021.847806,-3654.759574,54.1,3151,six,161,3.27,3.35,9.2,156,5200,19,24,15533.55877
